customer_id,name,email,city,state,loyalty_tier,join_date
C100,Elizabeth Smith,transhelly@luna.info,Anthonymouth,CA,Silver,2025-07-08
C101,Michael Green,fergusondevin@jackson-brennan.com,New Tina,RI,Gold,2024-03-30
C102,Deborah Barr,lcarpenter@hotmail.com,Johnsonberg,NJ,Bronze,2026-04-10
C103,Natasha Hines,rhonda20@hotmail.com,Robertview,CT,Bronze,2024-08-01
C104,Aimee Soto,natashaholland@hotmail.com,Conradland,WY,Bronze,2023-08-15
C105,Garrett Johnson,uscott@yahoo.com,Freyshire,AZ,Silver,2023-05-19
C106,Ms. Michelle Sherman,julia72@yahoo.com,Shelleytown,WY,Gold,2025-06-20
C107,Robin Meyers,icurtis@peterson-pierce.biz,West Amyland,MA,Gold,2025-05-15
C108,David Fuller,ncastro@jones.biz,Samuelmouth,IA,Silver,2023-10-27
C109,Stephanie Alvarez,jennifer07@gmail.com,West Gregoryhaven,NV,Silver,2023-11-23
C110,Claudia Brandt,kelly20@wilson-turner.com,Christinamouth,AR,Bronze,2023-06-01
C111,Stephanie Riley,rodneyhudson@yahoo.com,Justinborough,NE,Gold,2026-02-17
C112,Nathaniel Cannon,lisawalter@aguilar-carr.info,Rickyside,MD,Gold,2023-09-24
C113,John Dawson,zmalone@lambert.info,Riceborough,FL,Bronze,2024-01-03
C114,Amy Johnson,william36@hotmail.com,Harrisborough,AL,Bronze,2025-08-25
C115,Bryan Riley,jennifer59@simmons.com,New Stephanieton,WI,Bronze,2025-06-13
C116,Monica Allen,jenkinsstacy@hotmail.com,South Sarah,NJ,Silver,2024-09-12
C117,Kendra Anderson,ffloyd@hotmail.com,Mejiaborough,MD,Bronze,2023-11-26
C118,Rebecca Freeman,rwalker@hotmail.com,Terryberg,ND,Gold,2025-08-13
C119,Caleb Robinson,ryanmichele@levine-young.net,New Jasonshire,IL,Bronze,2024-03-09
C120,Kathy King,phodge@yahoo.com,North Vanessa,OR,Silver,2024-03-21
C121,Cassandra Williams,xbarker@reyes-wall.com,West Eugene,WI,Silver,2025-01-25
C122,Donald Harris,gomezjennifer@smith.com,Vincentview,ND,Silver,2024-08-22
C123,Stacy Dunn,robertwyatt@gmail.com,Foxside,SC,Gold,2024-12-08
C124,Katherine Luna,stephaniegonzalez@fletcher-mcdaniel.com,Pamelaton,HI,Gold,2026-04-19
C125,April Wallace,arnolddavid@lewis-martin.net,New Emily,WV,Gold,2023-08-13
C126,Stephanie Rodriguez,julie34@estes.com,Blevinschester,KY,Gold,2023-10-07
C127,Robert Ferguson,grogers@jackson-white.info,Perrybury,SD,Gold,2025-02-18
C128,Jonathon Russell,shannonchambers@white.biz,South Erin,OK,Bronze,2024-05-22
C129,Bobby Fernandez,mcdonaldkeith@adams.com,Shaunmouth,OK,Silver,2023-09-07
C130,Kelly Cameron,amberknight@yahoo.com,Tiffanymouth,UT,Silver,2024-04-03
C131,Stacy Buchanan,ihill@johns.com,Lake Tiffany,DE,Gold,2026-01-07
C132,Emma Gillespie,taylor70@hotmail.com,Parkerfurt,UT,Bronze,2024-08-29
C133,Ross Taylor,nsilva@harris.com,South Nathanfurt,NC,Bronze,2025-06-27
C134,Michelle Haas,williamscourtney@hotmail.com,Port Robin,WY,Gold,2024-01-12
C135,Samantha Baldwin,alvin45@pugh-thomas.info,East Kathleen,KS,Bronze,2024-10-22
C136,Jennifer Reyes,wilsonloretta@marquez.com,Diazville,MO,Bronze,2025-11-12
C137,Melissa Conrad,danielbrown@gmail.com,South Mariabury,AL,Silver,2024-05-31
C138,Kaitlyn Wong,bradleyramirez@yahoo.com,South Feliciaside,NM,Bronze,2023-06-14
